﻿﻿﻿﻿﻿﻿﻿﻿Title,PostURL,CompanyName,CompanyURL,Expire Date,Location,Career Requirement,Education Requirement,Job Type
[울산] Backend 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44865411&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd3ea924-6c51-4d42-b2b2-3655bda679f7,(주)인터엑스,https://www.saramin.co.kr/zf_user/company-info/view?csn=RkNKUHpoSTZXY0ZNeENqa0dKR3Nwdz09,상시채용,울산전체,경력 2~10년,학력무관,정규직
[KG모빌리언스]B2C/B2B 서비스 서버 및 백엔드 개발 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45135513&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd3ea924-6c51-4d42-b2b2-3655bda679f7,(주)케이지모빌리언스,https://www.saramin.co.kr/zf_user/company-info/view?csn=UVhTbnV1TTFiblpkeDFHOTBKOHlSdz09,~ 04/25(화),서울 중구,경력1년↑,학력무관,정규직
[국비지원 취업] 자바 웹개발/빅데이터/웹디자인/영상/건축,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=39659240&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd3ea924-6c51-4d42-b2b2-3655bda679f7,(주)이젠아카데미,https://www.saramin.co.kr/zf_user/company-info/view?csn=MEo3ZktMK1Z6REtBWFJLZ1Q3SzBJdz09,~ 05/31(수),서울전체,신입·경력,학력무관,교육생
[대전유망중소기업] 2023 상반기 신입·경력직 채용(사업부/개발부),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45098354&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd3ea924-6c51-4d42-b2b2-3655bda679f7,(주)대건소프트,https://www.saramin.co.kr/zf_user/company-info/view?csn=NDcreEpZWEZPTXZaelVMeFlkdkh4dz09,~ 04/20(목),대전 유성구,신입·경력,학력무관,정규직
각 부문 정규직 인력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45067208&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd3ea924-6c51-4d42-b2b2-3655bda679f7,(주)우주일렉트로닉스,https://www.saramin.co.kr/zf_user/company-info/view?csn=bWxaTEhKY2Y3ODZJWjk1OENaWnNCZz09,~ 04/18(화),경기 화성시,신입·경력,대졸↑,정규직
[뉴로메카] 기술사업부문 시스템개발부 인력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45334246&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd3ea924-6c51-4d42-b2b2-3655bda679f7,(주)뉴로메카,https://www.saramin.co.kr/zf_user/company-info/view?csn=djc0QW1pUTNWcnlRT2VVZXBTVlJwdz09,~ 04/22(토),경북 포항시 북구,경력무관,초대졸↑,정규직
"Cloud Platform (백엔드, 프론트엔드 등) 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&r﻿﻿﻿﻿﻿﻿﻿﻿﻿ec_idx=45298678&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd3ea924-6c51-4d42-b2b2-3655bda679f7,메가존클라우드(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=NWkzeDdtcWM0M0hWYW1ZRkFpWlU3dz09,~ 05/19(금),서울 강남구,경력무관,학력무관,정규직
2023 엔젤로보틱스 전문연구요원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45207417&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd3ea924-6c51-4d42-b2b2-3655bda679f7,(주)엔젤로보틱스,https://www.saramin.co.kr/zf_user/company-info/view?csn=WTMzenBOQ3NVaW5GdnJWOXpMVmFyUT09,내일마감,서울 성동구,신입·경력,고졸↑,정규직·전문연구요원
[NHN다이퀘스트] AI/NLP 솔루션 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45384155&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd3ea924-6c51-4d42-b2b2-3655bda679f7,(주)엔에이치엔다이퀘스트,https://www.saramin.co.kr/zf_user/company-info/view?csn=aGlzOG4zWlNBcDE3VzVxcm8xeG1Tdz09,~ 04/13(목),서울 구로구,경력무관,대졸↑,정규직
[뉴로메카] 로보틱스부문 연구개발부 인력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45334234&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd3ea924-6c51-4d42-b2b2-3655bda679f7,(주)뉴로메카,https://www.saramin.co.kr/zf_user/company-info/view?csn=djc0QW1pUTNWcnlRT2VVZXBTVlJwdz09,~ 04/22(토),대전 유성구,경력무관,대졸↑,정규직
[송파구/연5000만] 핀테크 R&D팀 빅데이터/AI개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45383562&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd3ea924-6c51-4d42-b2b2-3655bda679f7,(주)키스템프그룹,https://www.saramin.co.kr/zf_user/company-info/view?csn=Wm5sVDd5dlZoQktsUHd1Y0IxYk85UT09,~ 04/07(금),서울 송파구,신입·경력,학력무관,정규직
[동국시스템즈] 빅데이터/클라우드 솔루션개발 및 기술지원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45362998&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd3ea924-6c51-4d42-b2b2-3655bda679f7,동국시스템즈(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=dUtGb1R3RXBBNE1uNkZZTSttcVRWQT09,~ 04/10(월),서울 중구,경력무관,대졸↑,정규직
[브이에이스튜디오] IT 관리자급 채용(정규직/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45386098&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd3ea924-6c51-4d42-b2b2-3655bda679f7,(주)브이에이스튜디오,https://www.saramin.co.kr/zf_user/company-info/view?csn=ZENLSFdhTzBuaUJEL0RCQkp5YVdxdz09,~ 05/29(월),서울 강남구,경력8년↑,학력무관,정규직
㈜버블콘 2023 상반기 각 부문 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45264882&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd3ea924-6c51-4d42-b2b2-3655bda679f7,(주)버블콘,https://www.saramin.co.kr/zf_user/company-info/view?csn=OWM0dlJ5cnBUem9PRjBUVUFJZlkvZz09,~ 04/30(일),서울 구로구,경력3년↑,초대졸↑,정규직
"[넥타르소프트] 데이터관리, 분석 및 모델링",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45292717&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd3ea924-6c51-4d42-b2b2-3655bda679f7,(주)넥타르소프트,https://www.saramin.co.kr/zf_user/company-info/view?csn=ak92bW90Y2xZYmZJbTR2bjBPdXIrUT09,~ 04/16(일),서울 마포구,신입·경력,대졸↑,정규직
